,Silhouette,Davies-Bouldin,Calinski-Harabasz,n_clusters,model
Kmeans_2,0.7708368729843929,0.22770848554334713,47.31943799931104,2,Kmeans
Cmeans_2,0.7708368729843929,0.22770848554334713,47.31943799931104,2,Cmeans
Mountain_2,0.7708368729843929,0.22770848554334713,47.31943799931104,2,Mountain
Substract_2,0.5913606312211183,0.5389881997828601,21.088763382399883,2,Substract
Agglomerative_2,0.7708368729843929,0.22770848554334713,47.31943799931104,2,Agglomerative
Kmeans_3,0.5257267261284689,0.4995459150141672,55.38351797556032,3,Kmeans
Cmeans_3,0.5257267261284689,0.4995459150141672,55.38351797556032,3,Cmeans
Mountain_3,0.7708368729843929,0.22770848554334713,47.31943799931104,3,Mountain
Substract_3,0.18461992057173543,0.8219203607593079,10.196308403940668,3,Substract
Agglomerative_3,0.46859113454341217,0.2983708651219525,42.47114176245212,3,Agglomerative
Kmeans_4,0.3352470620898367,0.7142283126686366,42.906856559101016,4,Kmeans
Cmeans_4,0.3385034436412784,0.3865087904661254,34.61057190297677,4,Cmeans
Mountain_4,0.7708368729843929,0.22770848554334713,47.31943799931104,4,Mountain
Substract_4,0.123844255027524,0.46299463448844835,6.179940347642389,4,Substract
Agglomerative_4,0.5099441260512464,0.3685299311357629,79.01511937782129,4,Agglomerative
Kmeans_5,0.3703720765306796,0.30069283265715235,60.88969545264914,5,Kmeans
Cmeans_5,0.33220397110004524,0.29339979825337814,64.72284245968457,5,Cmeans
Mountain_5,0.7708368729843929,0.22770848554334713,47.31943799931104,5,Mountain
Substract_5,0.15165777178818315,0.4374731483938053,4.04920220007624,5,Substract
Agglomerative_5,0.33220397110004524,0.29339979825337814,64.72284245968457,5,Agglomerative
Kmeans_6,0.19263192157947848,0.25110777728266903,55.391545574636716,6,Kmeans
Cmeans_6,0.2224080888173927,0.24445327041510692,71.50187120291615,6,Cmeans
Mountain_6,0.7708368729843929,0.22770848554334713,47.31943799931104,6,Mountain
Substract_6,0.03808720479413829,0.48662007059937123,2.5046847695285934,6,Substract
Agglomerative_6,0.2224080888173927,0.24445327041510692,71.50187120291615,6,Agglomerative
Kmeans_7,0.2654447029763608,0.18557742222104542,48.811833300205386,7,Kmeans
Cmeans_7,0.10492737355431886,0.2333812336406144,35.22164701370914,7,Cmeans
Mountain_7,0.7708368729843929,0.22770848554334713,47.31943799931104,7,Mountain
Substract_7,0.046730398233864316,0.39877457099441493,1.433364296772657,7,Substract
Agglomerative_7,0.1619991136699559,0.22103438020954988,86.87983539094651,7,Agglomerative
Kmeans_8,0.17774015495120116,0.07511149252256037,26.108598325989632,8,Kmeans
Cmeans_8,0.07429456564479628,0.1751691603471241,57.43062832304886,8,Cmeans
Mountain_8,0.7708368729843929,0.22770848554334713,47.31943799931104,8,Mountain
Substract_8,0.17774015495120116,0.07511149252256039,26.10859832598963,8,Substract
Agglomerative_8,0.08770454802515963,0.1576546079333594,106.40716799540328,8,Agglomerative
